Address,Postcode,X,Y,Recommendation,RecommendationCode,Date,Hash,LocalAuthority
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add local time control to heating system.,EPC-H5,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,EPC-V1,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing an air source heat pump.,EPC-R5,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"Unit 3, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2012-07-24,af0ff449424879481a40383ea68c44c95f4eff7720315264e1d4b43eac449254,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,EPC-L7,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing building mounted wind turbine(s).,EPC-R2,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"Unit 2, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add weather compensation controls to heating system.,EPC-H8,2012-02-28,6ddda61e43cc94cbad72ad0e89db4d3391d947b4f420936c5332ff1e91cde6bd,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing building mounted wind turbine(s).,EPC-R2,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add time control to heating system.,EPC-H2,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,EPC-V1,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing an air source heat pump.,EPC-R5,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing PV.,EPC-R4,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing PV.,EPC-R4,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"Unit 2, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing solar water heating.,EPC-R3,2012-02-28,6ddda61e43cc94cbad72ad0e89db4d3391d947b4f420936c5332ff1e91cde6bd,Manchester
"Unit 2, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2012-02-28,6ddda61e43cc94cbad72ad0e89db4d3391d947b4f420936c5332ff1e91cde6bd,Manchester
"Unit 4, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,NA,NA,2012-07-24,9bee0999d7c56a1696c6cb843dbb5a88ed0452c03a88a7c8f6735a2689fa89a9,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing solar water heating.,EPC-R3,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",EPC-E7,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"Unit 1, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,NA,NA,2012-02-28,f9d118942a7108eee5427d4164a44f08a1d6bc91f44dcb68d8c9da3d65424b41,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add weather compensation controls to heating system.,EPC-H8,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing a ground source heat pump.,EPC-R1,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some windows have high U-values - consider installing secondary glazing.,EPC-E5,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing building mounted wind turbine(s).,EPC-R2,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing an air source heat pump.,EPC-R5,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,EPC-E8,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"Topps Tiles, Unit 4, 1119 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,NA,NA,2012-06-01,0f63687cd4dcfbb4ee6e41e560316a5e2fad5f40bcfcf78a1e139f83693740e6,Manchester
"Unit 2, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2012-02-28,6ddda61e43cc94cbad72ad0e89db4d3391d947b4f420936c5332ff1e91cde6bd,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add time control to heating system.,EPC-H2,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,EPC-H4,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,EPC-H4,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 5, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,NA,NA,2010-04-29,79622f64d8c46d4655c7d0e3804564c35feca3e3db39ea3c9f5c40360e595f5d,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add weather compensation controls to heating system.,EPC-H8,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some walls have uninsulated cavities - introduce cavity wall insulation.,EPC-E4,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add weather compensation controls to heating system.,EPC-H8,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,EPC-H4,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"Unit 3, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some windows have high U-values - consider installing secondary glazing.,EPC-E5,2012-07-24,af0ff449424879481a40383ea68c44c95f4eff7720315264e1d4b43eac449254,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing solar water heating.,EPC-R3,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,EPC-L7,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing an air source heat pump.,EPC-R5,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing HWS with point of use system.,EPC-W2,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add local temperature control to the heating system.,EPC-H6,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 4, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,NA,NA,2015-01-15,ad33a5c563e50062ee533362366c81d54c47dc77c1130a09211aa06b185baf1f,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",EPC-E7,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",EPC-E7,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"Unit 2, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing PV.,EPC-R4,2012-02-28,6ddda61e43cc94cbad72ad0e89db4d3391d947b4f420936c5332ff1e91cde6bd,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing building mounted wind turbine(s).,EPC-R2,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add time control to heating system.,EPC-H2,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",EPC-E7,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,EPC-H4,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing a ground source heat pump.,EPC-R1,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,EPC-L7,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add local temperature control to the heating system.,EPC-H6,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add local time control to heating system.,EPC-H5,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,EPC-V1,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some walls have uninsulated cavities - introduce cavity wall insulation.,EPC-E4,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add local temperature control to the heating system.,EPC-H6,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add local temperature control to the heating system.,EPC-H6,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add weather compensation controls to heating system.,EPC-H8,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add local time control to heating system.,EPC-H5,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",EPC-E7,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add time control to heating system.,EPC-H2,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,EPC-V1,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some windows have high U-values - consider installing secondary glazing.,EPC-E5,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installation of higher efficiency heating system,USER,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add weather compensation controls to heating system.,EPC-H8,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing a ground source heat pump.,EPC-R1,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,EPC-V1,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,EPC-L7,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing solar water heating.,EPC-R3,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add local time control to heating system.,EPC-H5,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,EPC-L7,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"Unit 1-2, 1119 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,NA,NA,2014-10-10,1c5e6f227c090e4fb4584a9c6326e768866abbec08f44669a2c57e513343ea19,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider PIR lighting control,USER,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"The Kitchen Accessory Co Ltd, Invicta House, 1 Claytonbrook Road",M111AL,-2.17522035972474,53.4784170871151,NA,NA,2012-05-31,b21a97cec3cf2e3fb259e35a3b3f2f62a6c175bb9e89da751ceb42f5543b61db,Manchester
"Harsco Infrastructure Ltd, Clayton Industrial Estate, Crabtree Lane",M111BR,-2.17287118527167,53.4787620763259,NA,NA,2013-11-21,e1dd8e95978baf50dabdf66fb6fd0f705a5ed503311f4485e4f45701b153cebb,Manchester
"17 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Consider installing building mounted wind turbine(s).,EPC-R2,2014-07-08,d71fad248c21c032a4568d325597c8d38f9dc6740c8eecc74bebd2ff0b6705de,Manchester
"McDonalds Restaurants Ltd, Lime Square",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2013-06-17,e2099f670538ea1538f3ce7aa522c6fff64425616736f3c7ca6a2209ca532540,Manchester
"11 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2013-08-16,bdfbc964eb7e7e953de12321c98e1be97746487c2015b74c2a77fb7a1641f62a,Manchester
"21 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2014-09-09,72c1c021c80580f912cb14970ac195effd483872c9a789e196050973aec6f937,Manchester
"17 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Add local temperature control to the heating system.,EPC-H6,2014-07-08,d71fad248c21c032a4568d325597c8d38f9dc6740c8eecc74bebd2ff0b6705de,Manchester
"19 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Consider installing solar water heating.,EPC-R3,2014-07-08,234e5c4c069f39c04a2222eb3cc5b552cf4d5fd4c1a8c2332aa29b7a27e1d398,Manchester
"17 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Add local time control to heating system.,EPC-H5,2014-07-08,d71fad248c21c032a4568d325597c8d38f9dc6740c8eecc74bebd2ff0b6705de,Manchester
1221 Ashton Old Road,M111DA,-2.16491053455739,53.4736408130952,Consider installing PV.,EPC-R4,2010-10-19,7adad99343c571516c271d3725692b397721d74e6bf38390c690d03769f0b72d,Manchester
1221 Ashton Old Road,M111DA,-2.16491053455739,53.4736408130952,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,EPC-V1,2010-10-19,7adad99343c571516c271d3725692b397721d74e6bf38390c690d03769f0b72d,Manchester
"17 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Add optimum start/stop to the heating system.,EPC-H7,2014-07-08,d71fad248c21c032a4568d325597c8d38f9dc6740c8eecc74bebd2ff0b6705de,Manchester
"12 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2013-08-16,27e4673db69249c9c4b58d3a9bac14c479c1e773a38f9286074c6c2da8ae354e,Manchester
"20 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2014-09-09,c2dfc93323b4b80712c0e9123ed03285a6b092dc822468eafdc886db6fa71da4,Manchester
"17 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",EPC-V1,2014-07-08,d71fad248c21c032a4568d325597c8d38f9dc6740c8eecc74bebd2ff0b6705de,Manchester
"13-14 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2014-07-08,1061a0e66deb9cd4cac9ca9d797a6d708cab4052f89425a10f04c1521611d470,Manchester
"17 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Add weather compensation controls to heating system.,EPC-H8,2014-07-08,d71fad248c21c032a4568d325597c8d38f9dc6740c8eecc74bebd2ff0b6705de,Manchester
"15 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2014-07-08,47cd74952901cb7b541508f37264090b1b238d83352d1d7417fde7bd70629789,Manchester
"4 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2014-03-20,52c7ef2f8da96462204138e63c67b40510622afafc146a49d7b6781c84e57bab,Manchester
"17 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Consider installing solar water heating.,EPC-R3,2014-07-08,d71fad248c21c032a4568d325597c8d38f9dc6740c8eecc74bebd2ff0b6705de,Manchester
"18 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2014-07-08,7d3babecb9cafb8e3163187a3af340514230ef2b841ad21b260215d36176bca6,Manchester
"22 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,NA,NA,2014-07-08,49724121595bd341bb9c5c4413b72abf4367a1618d09405a794d83e50f75c441,Manchester
"17 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Add time control to heating system.,EPC-H2,2014-07-08,d71fad248c21c032a4568d325597c8d38f9dc6740c8eecc74bebd2ff0b6705de,Manchester
"19 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Consider installing building mounted wind turbine(s).,EPC-R2,2014-07-08,234e5c4c069f39c04a2222eb3cc5b552cf4d5fd4c1a8c2332aa29b7a27e1d398,Manchester
"19 Lime Square, Ashton Old Road",M111DA,-2.16491053455739,53.4736408130952,Add time control to heating system.,EPC-H2,2014-07-08,234e5c4c069f39c04a2222eb3cc5b552cf4d5fd4c1a8c2332aa29b7a27e1d398,Manchester
1221 Ashton Old Road,M111DA,-2.16491053455739,53.4736408130952,Consider installing building mounted wind turbine(s).,EPC-R2,2010-10-19,7adad99343c571516c271d3725692b397721d74e6bf38390c690d03769f0b72d,Manchester
1221 Ashton Old Road,M111DA,-2.16491053455739,53.4736408130952,Add local time control to heating system.,EPC-H5,2010-10-19,7adad99343c571516c271d3725692b397721d74e6bf38390c690d03769f0b72d,Manchester
1221 Ashton Old Road,M111DA,-2.16491053455739,53.4736408130952,Consider installing solar water heating.,EPC-R3,2010-10-19,7adad99343c571516c271d3725692b397721d74e6bf38390c690d03769f0b72d,Manchester
